event,key,timestamp,label
keydown,Key.up,1753192225.5404634,bot
keyup,Key.up,1753192225.657603,bot
keydown,Key.up,1753192225.719312,bot
keyup,Key.up,1753192225.8368351,bot
keydown,Key.down,1753192226.1250632,bot
keyup,Key.down,1753192226.2697732,bot
keydown,Key.enter,1753192226.6304865,bot
keyup,Key.enter,1753192226.7534544,bot
keydown,h,1753192226.7997274,bot
keyup,h,1753192226.801056,bot
keydown,e,1753192227.004527,bot
keyup,e,1753192227.0053344,bot
keydown,l,1753192227.2078986,bot
keyup,l,1753192227.2080753,bot
keydown,l,1753192227.4108942,bot
keyup,l,1753192227.4109938,bot
keydown,o,1753192227.613575,bot
keyup,o,1753192227.6137838,bot
keydown,Key.space,1753192227.8163266,bot
keyup,Key.space,1753192227.8164625,bot
keydown,w,1753192228.0194762,bot
keyup,w,1753192228.0195503,bot
keydown,o,1753192228.2220004,bot
keyup,o,1753192228.222102,bot
keydown,r,1753192228.4241078,bot
keyup,r,1753192228.424204,bot
keydown,l,1753192228.6265185,bot
keyup,l,1753192228.6267323,bot
keydown,d,1753192228.8291764,bot
keyup,d,1753192228.8294072,bot
keydown,Key.space,1753192229.0320084,bot
keyup,Key.space,1753192229.0321412,bot
keydown,h,1753192229.2344837,bot
keyup,h,1753192229.2347794,bot
keydown,e,1753192229.4374585,bot
keyup,e,1753192229.4375856,bot
keydown,l,1753192229.6400971,bot
keyup,l,1753192229.640191,bot
keydown,l,1753192229.842858,bot
keyup,l,1753192229.8430617,bot
keydown,o,1753192230.0458634,bot
keyup,o,1753192230.045959,bot
keydown,Key.space,1753192230.2484026,bot
keyup,Key.space,1753192230.2485015,bot
keydown,w,1753192230.451068,bot
keyup,w,1753192230.451276,bot
keydown,o,1753192230.653978,bot
keyup,o,1753192230.6541028,bot
keydown,r,1753192230.8567286,bot
keyup,r,1753192230.8568594,bot
keydown,l,1753192231.059029,bot
keyup,l,1753192231.0591657,bot
keydown,d,1753192231.2616143,bot
keyup,d,1753192231.2617936,bot
keydown,Key.space,1753192231.464284,bot
keyup,Key.space,1753192231.4644644,bot
keydown,h,1753192231.6664958,bot
keyup,h,1753192231.6667054,bot
keydown,e,1753192231.869052,bot
keyup,e,1753192231.8692145,bot
keydown,l,1753192232.0717437,bot
keyup,l,1753192232.0718675,bot
keydown,l,1753192232.274504,bot
keyup,l,1753192232.274719,bot
keydown,o,1753192232.4772239,bot
keyup,o,1753192232.477392,bot
keydown,Key.space,1753192232.6798897,bot
keyup,Key.space,1753192232.6800094,bot
keydown,w,1753192232.8825095,bot
keyup,w,1753192232.8827233,bot
keydown,o,1753192233.085167,bot
keyup,o,1753192233.085285,bot
keydown,r,1753192233.2878206,bot
keyup,r,1753192233.288052,bot
keydown,l,1753192233.4905627,bot
keyup,l,1753192233.4910927,bot
keydown,d,1753192233.69386,bot
keyup,d,1753192233.6939826,bot
keydown,Key.space,1753192233.896486,bot
keyup,Key.space,1753192233.8968065,bot
keydown,h,1753192234.0993638,bot
keyup,h,1753192234.0995572,bot
keydown,e,1753192234.3018727,bot
keyup,e,1753192234.3020923,bot
keydown,l,1753192234.504152,bot
keyup,l,1753192234.5043058,bot
keydown,l,1753192234.7068145,bot
keyup,l,1753192234.7069821,bot
keydown,o,1753192234.9094133,bot
keyup,o,1753192234.9097378,bot
keydown,Key.space,1753192235.1123755,bot
keyup,Key.space,1753192235.1126945,bot
keydown,w,1753192235.315305,bot
keyup,w,1753192235.3154728,bot
keydown,o,1753192235.5171292,bot
keyup,o,1753192235.5174065,bot
keydown,r,1753192235.7199833,bot
keyup,r,1753192235.7201471,bot
keydown,l,1753192235.922845,bot
keyup,l,1753192235.923012,bot
keydown,d,1753192236.1256118,bot
keyup,d,1753192236.125774,bot
keydown,Key.space,1753192236.3281736,bot
keyup,Key.space,1753192236.328335,bot
keydown,h,1753192236.5305464,bot
keyup,h,1753192236.5306966,bot
keydown,e,1753192236.7328184,bot
keyup,e,1753192236.73321,bot
keydown,l,1753192236.9359417,bot
keyup,l,1753192236.936105,bot
keydown,l,1753192237.1387398,bot
keyup,l,1753192237.138904,bot
keydown,o,1753192237.341216,bot
keyup,o,1753192237.3413806,bot
keydown,Key.space,1753192237.5438528,bot
keyup,Key.space,1753192237.5439906,bot
keydown,w,1753192237.746769,bot
keyup,w,1753192237.746889,bot
keydown,o,1753192237.9493625,bot
keyup,o,1753192237.9495678,bot
keydown,r,1753192238.1518729,bot
keyup,r,1753192238.1520457,bot
keydown,l,1753192238.3545651,bot
keyup,l,1753192238.3548906,bot
keydown,d,1753192238.5574536,bot
keyup,d,1753192238.5578072,bot
keydown,Key.space,1753192238.7605531,bot
keyup,Key.space,1753192238.7607117,bot
keydown,h,1753192238.9633715,bot
keyup,h,1753192238.9635375,bot
keydown,e,1753192239.1661437,bot
keyup,e,1753192239.166313,bot
keydown,l,1753192239.3688524,bot
keyup,l,1753192239.3693218,bot
keydown,l,1753192239.5721207,bot
keyup,l,1753192239.5722394,bot
keydown,o,1753192239.7748382,bot
keyup,o,1753192239.775066,bot
keydown,Key.space,1753192239.9774141,bot
keyup,Key.space,1753192239.9776988,bot
keydown,w,1753192240.1803946,bot
keyup,w,1753192240.1808977,bot
keydown,o,1753192240.3829863,bot
keyup,o,1753192240.3832827,bot
keydown,r,1753192240.5859077,bot
keyup,r,1753192240.5860417,bot
keydown,l,1753192240.7886226,bot
keyup,l,1753192240.7890284,bot
keydown,d,1753192240.991574,bot
keyup,d,1753192240.9919322,bot
keydown,Key.space,1753192241.1945617,bot
keyup,Key.space,1753192241.19477,bot
keydown,h,1753192241.3974488,bot
keyup,h,1753192241.3976445,bot
keydown,e,1753192241.5997167,bot
keyup,e,1753192241.5998895,bot
keydown,l,1753192241.8023462,bot
keyup,l,1753192241.8024313,bot
keydown,l,1753192242.0045123,bot
keyup,l,1753192242.0046446,bot
keydown,o,1753192242.2066061,bot
keyup,o,1753192242.206744,bot
keydown,Key.space,1753192242.409152,bot
keyup,Key.space,1753192242.4092798,bot
keydown,w,1753192242.6116123,bot
keyup,w,1753192242.6118042,bot
keydown,o,1753192242.8142083,bot
keyup,o,1753192242.8143275,bot
keydown,r,1753192243.0165932,bot
keyup,r,1753192243.0167623,bot
keydown,l,1753192243.2190137,bot
keyup,l,1753192243.2191286,bot
keydown,d,1753192243.421586,bot
keyup,d,1753192243.4218159,bot
keydown,Key.space,1753192243.623819,bot
keyup,Key.space,1753192243.62395,bot
keydown,h,1753192243.8263776,bot
keyup,h,1753192243.826829,bot
keydown,e,1753192244.0295415,bot
keyup,e,1753192244.0297081,bot
keydown,l,1753192244.232197,bot
keyup,l,1753192244.2323186,bot
keydown,l,1753192244.4345944,bot
keyup,l,1753192244.4347453,bot
keydown,o,1753192244.6370466,bot
keyup,o,1753192244.6372175,bot
keydown,Key.space,1753192244.8393366,bot
keyup,Key.space,1753192244.839455,bot
keydown,w,1753192245.04145,bot
keyup,w,1753192245.0415795,bot
keydown,o,1753192245.2439275,bot
keyup,o,1753192245.244065,bot
keydown,r,1753192245.446433,bot
keyup,r,1753192245.4465873,bot
keydown,l,1753192245.6491368,bot
keyup,l,1753192245.6492696,bot
keydown,d,1753192245.8514476,bot
keyup,d,1753192245.8515832,bot
keydown,Key.space,1753192246.0538814,bot
keyup,Key.space,1753192246.0540104,bot
keydown,h,1753192246.2564604,bot
keyup,h,1753192246.2565928,bot
keydown,e,1753192246.458989,bot
keyup,e,1753192246.4591162,bot
keydown,l,1753192246.661473,bot
keyup,l,1753192246.6616015,bot
keydown,l,1753192246.86405,bot
keyup,l,1753192246.8641472,bot
keydown,o,1753192247.0662105,bot
keyup,o,1753192247.0663402,bot
keydown,Key.space,1753192247.2686548,bot
keyup,Key.space,1753192247.2687998,bot
keydown,w,1753192247.4711075,bot
keyup,w,1753192247.4712162,bot
keydown,o,1753192247.6737301,bot
keyup,o,1753192247.6738658,bot
keydown,r,1753192247.8765535,bot
keyup,r,1753192247.8767354,bot
keydown,l,1753192248.0794063,bot
keyup,l,1753192248.07976,bot
keydown,d,1753192248.2823007,bot
keyup,d,1753192248.2824306,bot
keydown,Key.space,1753192248.4847975,bot
keyup,Key.space,1753192248.4848928,bot
keydown,h,1753192248.6872065,bot
keyup,h,1753192248.6873336,bot
keydown,e,1753192248.8900092,bot
keyup,e,1753192248.8901408,bot
keydown,l,1753192249.0922642,bot
keyup,l,1753192249.0923932,bot
keydown,l,1753192249.2948763,bot
keyup,l,1753192249.2949452,bot
keydown,o,1753192249.4973063,bot
keyup,o,1753192249.4974027,bot
keydown,Key.space,1753192249.6994586,bot
keyup,Key.space,1753192249.6995897,bot
keydown,w,1753192249.9018493,bot
keyup,w,1753192249.9019802,bot
keydown,o,1753192250.1044114,bot
keyup,o,1753192250.1045432,bot
keydown,r,1753192250.306647,bot
keyup,r,1753192250.306831,bot
keydown,l,1753192250.5090158,bot
keyup,l,1753192250.5091214,bot
keydown,d,1753192250.7117062,bot
keyup,d,1753192250.7120352,bot
keydown,Key.space,1753192250.9147546,bot
keyup,Key.space,1753192250.9148636,bot
keydown,h,1753192251.1166213,bot
keyup,h,1753192251.1167755,bot
keydown,e,1753192251.3187215,bot
keyup,e,1753192251.3188477,bot
keydown,l,1753192251.5215232,bot
keyup,l,1753192251.5217812,bot
keydown,l,1753192251.724578,bot
keyup,l,1753192251.7251847,bot
keydown,o,1753192251.927845,bot
keyup,o,1753192251.92794,bot
keydown,Key.space,1753192252.1303065,bot
