event,key,timestamp,label
keydown,c,1753188047.2810647,human
keydown,i,1753188047.4063416,human
keyup,c,1753188047.424696,human
keydown,a,1753188047.5436275,human
keyup,i,1753188047.5480783,human
keydown,o,1753188047.6532087,human
keyup,a,1753188047.7056882,human
keydown,Key.space,1753188047.707749,human
keyup,o,1753188047.7909355,human
keydown,s,1753188047.826741,human
keyup,Key.space,1753188047.8559566,human
keydown,o,1753188047.9505706,human
keyup,s,1753188047.9595675,human
keydown,n,1753188048.0145185,human
keyup,o,1753188048.0695395,human
keydown,o,1753188048.1245704,human
keyup,n,1753188048.1632357,human
keydown,Key.space,1753188048.2215972,human
keyup,o,1753188048.285423,human
keydown,d,1753188048.3409948,human
keyup,Key.space,1753188048.371488,human
keyup,d,1753188048.4791415,human
keydown,n,1753188048.5132916,human
keydown,i,1753188048.576159,human
keyup,n,1753188048.6493256,human
keyup,i,1753188048.6783383,human
keydown,Key.backspace,1753188048.895998,human
keyup,Key.backspace,1753188048.986982,human
keydown,Key.backspace,1753188049.0459824,human
keydown,a,1753188049.1554554,human
keyup,Key.backspace,1753188049.169309,human
keyup,a,1753188049.2796361,human
keydown,n,1753188049.28393,human
keydown,i,1753188049.352736,human
keyup,n,1753188049.4164321,human
keydown,e,1753188049.4908605,human
keyup,i,1753188049.5012753,human
keyup,e,1753188049.6002698,human
keydown,l,1753188049.6097445,human
keydown,e,1753188049.7229505,human
keyup,l,1753188049.7550118,human
keyup,e,1753188049.8295538,human
keydown,Key.space,1753188049.8321993,human
keyup,Key.space,1753188049.9517293,human
keydown,e,1753188049.9610448,human
keyup,e,1753188050.0523603,human
keydown,Key.space,1753188050.0617344,human
keydown,s,1753188050.2047813,human
keyup,Key.space,1753188050.2179897,human
keyup,s,1753188050.33402,human
keydown,t,1753188050.4042714,human
keydown,o,1753188050.4678926,human
keyup,t,1753188050.5277965,human
keydown,Key.space,1753188050.555873,human
keyup,o,1753188050.6247287,human
keydown,f,1753188050.6514735,human
keyup,Key.space,1753188050.7209406,human
keydown,a,1753188050.7473419,human
keyup,f,1753188050.809564,human
keydown,c,1753188050.8992589,human
keyup,a,1753188050.9349604,human
keydown,e,1753188051.0272152,human
keyup,c,1753188051.0785031,human
keydown,n,1753188051.1470742,human
keyup,e,1753188051.157478,human
keydown,d,1753188051.266042,human
keyup,n,1753188051.291983,human
keydown,o,1753188051.3511505,human
keyup,d,1753188051.3791647,human
keydown,Key.space,1753188051.4198143,human
keydown,q,1753188051.5036178,human
keyup,o,1753188051.514491,human
keyup,Key.space,1753188051.5671701,human
keyup,q,1753188051.636311,human
keydown,u,1753188051.662498,human
keydown,e,1753188051.757298,human
keyup,u,1753188051.8010535,human
keydown,s,1753188051.8529437,human
keyup,e,1753188051.9221048,human
keydown,t,1753188052.0094934,human
keyup,s,1753188052.0132089,human
keydown,o,1753188052.079129,human
keyup,t,1753188052.1400917,human
keydown,Key.space,1753188052.1598024,human
keyup,o,1753188052.2173197,human
keydown,p,1753188052.2926939,human
keyup,Key.space,1753188052.3276944,human
keydown,r,1753188052.3885112,human
keyup,p,1753188052.4303331,human
keyup,r,1753188052.5170789,human
keydown,o,1753188052.5259614,human
keydown,g,1753188052.6220741,human
keyup,o,1753188052.683751,human
keydown,e,1753188052.7436535,human
keyup,g,1753188052.7783237,human
keydown,t,1753188052.8838072,human
keyup,e,1753188052.9433289,human
keyup,t,1753188052.9848256,human
keydown,t,1753188053.0253057,human
keydown,o,1753188053.04707,human
keyup,t,1753188053.1214826,human
keydown,Key.space,1753188053.130485,human
keyup,o,1753188053.1941578,human
keyup,Key.space,1753188053.2902248,human
keydown,a,1753188053.3034658,human
keydown,Key.space,1753188053.4039257,human
keyup,a,1753188053.447485,human
keydown,s,1753188053.5505233,human
keyup,Key.space,1753188053.5660605,human
keydown,c,1753188053.6829753,human
keyup,s,1753188053.701368,human
keydown,e,1753188053.7845643,human
keyup,c,1753188053.8392808,human
keydown,l,1753188053.9174817,human
keyup,e,1753188053.9397926,human
keyup,l,1753188054.06774,human
keydown,a,1753188054.0848212,human
keyup,a,1753188054.2222884,human
keydown,Key.backspace,1753188054.425325,human
keydown,t,1753188054.4804962,human
keyup,Key.backspace,1753188054.5489712,human
keydown,a,1753188054.562538,human
keyup,t,1753188054.6187246,human
keyup,a,1753188054.7275143,human
keydown,Key.space,1753188055.4427466,human
keydown,Key.shift,1753188055.566188,human
keyup,Key.space,1753188055.5752847,human
keydown,F,1753188055.6810563,human
keyup,Key.shift,1753188055.7135093,human
keyup,f,1753188055.7595975,human
keydown,r,1753188056.1011844,human
keyup,r,1753188056.2539728,human
keydown,Key.backspace,1753188056.4039428,human
keyup,Key.backspace,1753188056.491742,human
keydown,Key.backspace,1753188056.5465221,human
keyup,Key.backspace,1753188056.6655188,human
keydown,f,1753188056.669443,human
keyup,f,1753188056.7801466,human
keydown,r,1753188056.8328445,human
keydown,e,1753188056.911728,human
keyup,r,1753188056.9710958,human
keyup,e,1753188057.0026877,human
keydown,q,1753188057.0828886,human
keyup,q,1753188057.20457,human
keydown,u,1753188057.2325666,human
keyup,u,1753188057.3840659,human
keydown,e,1753188057.472584,human
keydown,n,1753188057.5543568,human
keyup,e,1753188057.6057265,human
keydown,t,1753188057.6917365,human
keyup,n,1753188057.6938088,human
keydown,o,1753188057.780278,human
keyup,t,1753188057.8059237,human
keydown,Key.space,1753188057.8436122,human
keyup,o,1753188057.9085276,human
keydown,l,1753188057.983964,human
keyup,Key.space,1753188058.0123148,human
keydown,a,1753188058.0711539,human
keyup,l,1753188058.1277514,human
keydown,Key.space,1753188058.1906152,human
keyup,a,1753188058.2098958,human
keydown,t,1753188058.3155646,human
keyup,Key.space,1753188058.3465147,human
keyup,t,1753188058.4154754,human
keydown,r,1753188058.4742055,human
keydown,i,1753188058.5496767,human
keyup,r,1753188058.6047301,human
keydown,n,1753188058.6547568,human
keydown,e,1753188058.6870065,human
keyup,i,1753188058.7251844,human
keyup,n,1753188058.8018947,human
keyup,e,1753188058.806738,human
keydown,n,1753188058.940133,human
keyup,n,1753188059.019783,human
keydown,Key.backspace,1753188059.1339943,human
keyup,Key.backspace,1753188059.2407315,human
keydown,Key.backspace,1753188059.2878647,human
keyup,Key.backspace,1753188059.3925169,human
keydown,Key.backspace,1753188059.4257529,human
keydown,e,1753188059.4993346,human
keyup,Key.backspace,1753188059.535401,human
keyup,e,1753188059.6183524,human
keydown,n,1753188059.6307297,human
keyup,n,1753188059.7271287,human
keydown,n,1753188059.7783191,human
keydown,a,1753188059.8562913,human
keyup,n,1753188059.8575726,human
keyup,a,1753188059.9714344,human
keydown,l,1753188060.0005565,human
keyup,l,1753188060.1508985,human
keydown,e,1753188060.1699557,human
keydown,Key.space,1753188060.2679152,human
keyup,e,1753188060.277513,human
keydown,i,1753188060.3774164,human
keyup,Key.space,1753188060.4080882,human
keydown,n,1753188060.4963055,human
keyup,i,1753188060.5469298,human
keydown,Key.space,1753188060.5770943,human
keyup,n,1753188060.641296,human
keydown,i,1753188060.6916277,human
keyup,Key.space,1753188060.7247508,human
keydown,n,1753188060.787103,human
keyup,i,1753188060.838009,human
keydown,f,1753188060.887879,human
keyup,n,1753188060.9163342,human
keyup,f,1753188060.99126,human
keydown,o,1753188061.0062444,human
keydown,r,1753188061.0705974,human
keyup,o,1753188061.1157947,human
keyup,r,1753188061.1710434,human
keydown,m,1753188061.1744971,human
keydown,a,1753188061.234794,human
keyup,m,1753188061.2992392,human
keydown,t,1753188061.372001,human
keyup,a,1753188061.378982,human
keydown,i,1753188061.4277067,human
keyup,t,1753188061.4590225,human
keyup,i,1753188061.550591,human
keydown,a,1753188061.6556418,human
keyup,a,1753188061.8011885,human
keydown,Key.backspace,1753188061.9243069,human
keydown,c,1753188061.9630163,human
keydown,a,1753188062.0066252,human
keyup,Key.backspace,1753188062.0343115,human
keyup,c,1753188062.0855844,human
keyup,a,1753188062.1417975,human
keydown,Key.space,1753188062.2972243,human
keydown,e,1753188062.3658335,human
keyup,Key.space,1753188062.4209287,human
keyup,e,1753188062.4690237,human
keydown,Key.space,1753188062.4831073,human
keyup,Key.space,1753188062.608151,human
keydown,s,1753188062.6866565,human
keyup,s,1753188062.8060796,human
keydown,o,1753188062.9157484,human
keydown,n,1753188063.063456,human
keyup,o,1753188063.1076787,human
keydown,o,1753188063.1859937,human
keydown,Key.space,1753188063.2029564,human
keyup,n,1753188063.2357655,human
keyup,o,1753188063.3362532,human
keydown,m,1753188063.3543508,human
keyup,Key.space,1753188063.3863463,human
keydown,o,1753188063.4139438,human
keyup,m,1753188063.489118,human
